Program Time [s],AccX,AccY,AccZ
2541.24,738.28,416.5,542.48
2541.28,734.86,414.06,543.95
2541.31,742.68,404.79,550.29
2541.34,742.68,412.11,547.36
2541.38,739.26,415.04,533.69
2541.41,738.28,407.71,541.99
2541.44,735.84,408.2,541.99
2541.48,743.65,409.18,544.43
2541.51,735.84,424.32,532.71
2541.55,738.28,417.48,546.39
2541.58,738.28,402.34,545.9
2541.61,746.58,406.25,541.5
2541.65,740.23,417.48,540.04
2541.68,732.91,418.95,548.83
2541.72,737.3,419.92,548.83
2541.75,738.77,407.71,548.83
2541.78,733.4,415.04,544.92
2541.82,749.02,417.97,551.27
2541.85,736.33,405.76,538.57
2541.89,752.44,411.13,529.3
2541.92,745.61,406.25,560.06
2541.95,732.42,424.8,545.9
2541.99,741.7,417.48,544.92
2542.02,739.26,416.99,539.06
2542.05,736.33,408.69,540.04
2542.09,732.42,416.5,539.55
2542.12,745.61,413.09,541.99
2542.16,727.05,403.81,544.92
2542.19,744.14,409.18,546.87
2542.22,750.98,418.95,547.36
2542.26,734.37,412.11,540.04
2542.29,746.09,399.9,541.02
2542.33,730.96,416.99,557.62
2542.36,731.93,405.27,541.99
2542.39,727.54,413.57,547.85
2542.43,733.4,404.3,538.09
2542.46,741.7,408.69,543.95
2542.5,735.84,419.92,539.06
2542.53,750,412.6,548.34
2542.56,739.75,406.74,540.04
2542.6,739.75,413.57,544.43
2542.63,743.16,413.57,551.27
2542.66,749.02,406.74,544.43
2542.7,739.75,415.53,539.55
2542.73,744.63,414.55,540.04
2542.77,757.32,417.48,543.95
2542.8,729,420.41,539.06
2542.83,725.1,410.16,535.16
2542.87,746.58,416.99,546.87
2542.9,748.05,416.5,552.73
2542.94,749.02,419.43,540.04
2542.97,729,402.34,547.85
2543,729.49,422.85,533.2
2543.04,744.14,406.74,540.53
2543.07,742.19,406.25,557.62
2543.1,733.4,407.71,549.32
2543.14,740.72,432.13,539.06
2543.17,732.91,411.62,551.27
2543.21,727.05,415.04,537.6
2543.24,756.35,410.16,544.43
2543.27,748.05,417.48,539.55
2543.31,743.16,408.69,544.43
2543.34,741.21,417.48,548.34
2543.38,753.42,417.97,549.8
2543.41,736.82,407.71,564.45
2543.44,740.23,403.81,556.15
2543.48,740.72,409.67,539.55
2543.51,750.98,417.97,534.67
2543.55,742.68,417.97,553.71
2543.58,737.3,407.71,545.41
2543.61,732.91,414.55,536.13
2543.65,747.07,424.8,548.83
2543.68,737.79,403.81,539.06
2543.72,743.65,397.95,539.55
2543.75,731.45,413.57,537.11
2543.78,731.93,416.02,547.85
2543.82,738.77,416.5,544.92
2543.85,728.52,419.92,552.73
2543.88,728.52,414.06,542.48
2543.92,737.79,421.39,535.16
2543.95,737.3,409.18,555.66
2543.99,750.98,402.83,561.04
2544.02,722.66,425.78,536.13
2544.05,737.79,409.18,532.23
2544.09,748.05,402.83,545.41
2544.12,741.7,406.25,547.36
2544.16,736.82,429.2,548.34
2544.19,745.61,424.8,543.46
2544.22,748.05,427.25,539.06
2544.26,738.77,414.55,541.99
2544.29,749.51,415.53,547.36
2544.33,734.86,418.46,538.57
2544.36,732.42,409.67,540.04
2544.39,725.1,403.32,546.39
2544.43,753.42,430.18,561.04
2544.46,738.28,396.48,542.48
2544.49,738.28,420.41,531.25
2544.53,743.16,416.99,544.92
2544.56,753.42,393.07,545.41
